"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_00006-00006_0074.count","Cont_B1_untr_00014-00014_0075.count","Cont_B1_untr_00019-00019_0075.count","Cont_untr_00001_0074.count","Cont_untr_00003_0074.count","Cont_untr_00004_0074.count","Cont_untr_00005_0074.count","Cont_untr_00009-00009_0074.count","Cont_untr_00010-00010_0074.count","Cont_untr_00011-00011_0075.count","Cont_untr_00012-00012_0075.count","Cont_untr_00013-00013_0075.count","Muta_untr_00016-00016_0075.count"
"1","BRCA1",1520.80706740194,0.182404412121186,0.153922411954938,1.1850412802431,0.23600112585731,0.23600112585731,1299.65383948461,1798.38446707854,1545.43916076012,1557.05167710769,1352.44219684575,1557.35172423274,1274.64235989851,1504.30981769831,1687.36836118212,1596.76081619952,1466.92129894295,1422.29358528602,1707.87257150833
"2","BRCA2",2133.0245385461,-0.196226619647636,0.15420993274105,-1.272464206162,0.203208233956411,0.23600112585731,2470.91612694876,1785.67802948731,2077.94374115246,2062.44640344798,2374.47163281587,2062.04904227112,2519.40131009697,2134.75681249421,1903.16216974914,2011.15633528431,2189.16695377419,2257.85707300902,1880.31337056796
