"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_wt-RNA11-0047-1_S17.count","Cont_B1_untr_wt-RNA11-0053-1_S20.count","Cont_B1_untr_wt-RNA11-0055-1_S21.count","Cont_untr_wt-RNA11-0067-1_S25.count","Cont_untr_wt-RNA11-0069-1_S26.count","Cont_untr_wt-RNA11-0071-1_S27.count","Cont_untr_wt-RNA11-0073-1_S28.count","Cont_untr_wt-RNA11-0075-1_S29.count","Cont_untr_wt-RNA11-0077-1_S30.count","Muta_untr_wt-RNA11-0049-1_S18.count"
"1","BRCA1",47008.0929730009,-0.00978496237134325,0.154229675134075,-0.0634440963636665,0.949412874134927,0.977737035892737,40575.6521620476,48530.112071283,50592.4448468029,53281.1890340087,43689.9188463311,50805.4195156452,45702.3754002986,50357.5103873548,39822.9049287784,46723.4025374586
"2","BRCA2",84807.6440200692,-0.00433593528485025,0.155375844454244,-0.0279061092158834,0.977737035892737,0.977737035892737,97391.5285166396,81428.3053543511,78108.9903163878,74167.3535494671,90449.3505360028,77781.5599653577,86466.5074847618,78473.3946182856,99232.4591008315,84576.9907586071
