"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_smp2_S2.count","Cont_B1_untr_smp5_S5.count","Cont_B1_untr_smp6_S6.count","Cont_untr_smp10_S10.count","Cont_untr_smp11_S11.count","Cont_untr_smp12_S12.count","Cont_untr_smp13_S2.count","Cont_untr_smp14_S3.count","Cont_untr_smp15_S4.count","Cont_untr_smp16_S5.count","Cont_untr_smp17_S6.count","Cont_untr_smp19_S8.count","Cont_untr_smp20_S9.count","Muta_untr_smp18_S7.count","Muta_untr_smp7_S7.count"
"1","BRCA1",2579.91438813586,0.00986315143485751,0.120925318020855,0.0815639900418248,0.934993437630769,0.934993437630769,2293.69492638029,2208.82680725325,2840.53243251041,2603.53816963424,2899.92631423419,3157.07048519744,2592.18313231943,2949.95690206015,2506.82008719366,2505.2684738306,2372.33669761079,2371.06467030563,2205.60901277345,2534.9479129439,2656.93979779049
"2","BRCA2",3601.78326599313,-0.0268834231274824,0.119672665799367,-0.224641299229959,0.822258333759911,0.934993437630769,4008.04872639229,4162.04701890732,3236.44994269124,3531.05675024633,3170.16366356836,2911.95304999217,3546.52451587595,3116.39841991952,3667.29191112499,3669.56321226296,3875.18392210919,3877.26287837857,4168.11908872772,3626.59957684677,3460.08631285362
