"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_22-03-006-0289_U.count","Cont_B1_untr_26-06-009-0425_U.count","Cont_B1_untr_30-99-003-3193_U.count","Cont_B1_untr_36-01-008-0483_U.count","Cont_untr_02-07-111-0075_U.count","Cont_untr_04-07-111-0082_U.count","Cont_untr_06-07-111-0085_U.count","Cont_untr_08-07-111-0097_U.count","Cont_untr_10-07-111-0134_U.count","Cont_untr_12-08-111-0021_U.count","Cont_untr_14-08-111-0059_U.count","Cont_untr_16-08-111-0064_U.count","Cont_untr_18-08-111-0065_U.count","Cont_untr_20-08-111-0066_U.count","Muta_untr_28-06-009-0915_U.count"
"1","BRCA1",61470.4407880155,-0.00983367512422334,0.098761201741992,-0.0995702254607356,0.920685532963905,0.968596046752364,56308.7727620766,56243.1988337691,66394.2816946262,61818.2193426302,60911.816532638,58329.4581726082,66086.8624830214,66466.111319736,62310.317814852,57319.1654631624,60577.5491408502,63084.4062941041,57061.1352468601,68066.2946207502,61079.0220985476
"2","BRCA2",49984.7915056248,0.00388969928898648,0.0988006019489596,0.0393691861411522,0.968596046752364,0.968596046752364,54357.6458322252,54421.0213948652,46100.5413256236,49513.110529495,50249.894048196,52474.5544179524,46314.9892739207,46050.7206796579,49122.0785639878,53399.4572725473,50527.1733580942,48519.3173219144,53640.9293962766,44968.1056402784,50112.3335293378
