"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_010080483.count","Cont_B1_untr_060090425.count","Cont_B1_untr_990033193.count","Cont_untr_07III0075.count","Cont_untr_07III0082.count","Cont_untr_07III0085.count","Cont_untr_07III0097.count","Cont_untr_07III0134.count","Cont_untr_08III0021.count","Cont_untr_08III0059.count","Cont_untr_08III0065.count","Cont_untr_08III0066.count","Muta_untr_08III0064.count"
"1","BRCA1",20261.0176330324,-0.0255498225077911,0.12369057251423,-0.206562408019024,0.836351621094834,0.896417954006039,21603.7671117055,16945.7449536471,19327.1177539612,18955.240144042,20821.3303850193,20668.928049763,21008.6976278794,20229.1749682583,22236.0631879389,19857.5653667208,18689.6471098908,23120.0341079153,19929.9184626797
"2","BRCA2",27278.0593739519,0.0162189469998849,0.124581288796343,0.130187664267934,0.896417954006039,0.896417954006039,25428.9632139455,32418.840285211,28424.3830952813,28982.0331998737,26384.5483937694,26579.094854051,26149.2363256816,27156.8860335733,24705.8750698363,27665.0933294612,29393.8882813617,23761.2711383556,27564.6586409737
