"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_R9_01.count","Cont_R9_07.count","Cont_R9_09.count","Cont_R9_15.count","Muta_R9_17.count"
"1","BRCA1",198101.093171605,-0.450625998501798,0.3119944649425,-1.44433972117052,0.148643437676827,0.189592594037465,222677.35553924,257534.07031303,163359.865847007,193759.251176371,153174.922982379
"2","BRCA2",295304.030826175,0.409838225552026,0.312427828564445,1.31178527673148,0.189592594037465,0.189592594037465,253229.691921153,218955.566044054,345179.752986751,291023.61718817,368131.52599075
