"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_22-03-006-0289_U.count","Cont_B1_untr_26-06-009-0425_U.count","Cont_B1_untr_30-99-003-3193_U.count","Cont_B1_untr_36-01-008-0483_U.count","Cont_untr_02-07-111-0075_U.count","Cont_untr_04-07-111-0082_U.count","Cont_untr_06-07-111-0085_U.count","Cont_untr_08-07-111-0097_U.count","Cont_untr_10-07-111-0134_U.count","Cont_untr_12-08-111-0021_U.count","Cont_untr_14-08-111-0059_U.count","Cont_untr_18-08-111-0065_U.count","Cont_untr_20-08-111-0066_U.count","Muta_untr_34-99-006-1923_U.count"
"1","BRCA1",67453.3974779975,-0.210289245729887,0.103566943614223,-2.03046684966581,0.0423091075234181,0.0480719275277744,62489.4799558216,62416.7083346764,73682.0202540765,68603.6684698899,67597.7747618841,64731.9649943782,73340.8573105547,73761.7342257785,69149.7819102615,63610.7779586887,67226.81665972,63324.4251713929,75537.5609293169,58873.9937555245
"2","BRCA2",56188.647725588,0.203987766723232,0.103194445657179,1.9767320365371,0.0480719275277744,0.0480719275277744,60324.1884533876,60394.5204062436,51160.7465730504,54947.8949054111,55765.5511366734,58234.400354393,51398.7333042353,51105.4573862195,54513.9414915461,59260.8247561021,56073.2658856924,59528.801959218,49904.00959248,64028.7319535791
