"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B2_unt_R9_05.count","Cont_B2_unt_R9_11.count","Cont_B2_unt_R9_13.count","Cont_B2_unt_R9_17.count","Cont_B2_unt_R9_19.count","Cont_unt_R9_01.count","Muta_unt_R9_07.count"
"1","BRCA1",196798.41925357,0.547688522036919,0.291041118257035,1.88182523939186,0.0598597477281053,0.0598597477281053,220270.028790057,173472.933848508,143000.31040487,160510.918959766,177124.584360973,233342.026705284,269868.131705533
"2","BRCA2",328740.605497329,-0.589676758355297,0.289727465264017,-2.035280838211,0.0418226231024902,0.0598597477281053,281105.339038694,356937.994587473,432999.627397892,385762.423667965,349579.259968243,265357.604017458,229441.989803579
