"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_unt_R9_03.count","Cont_B1_unt_R9_07.count","Cont_B1_unt_R9_09.count","Cont_B1_unt_R9_15.count","Cont_unt_R9_01.count","Muta_unt_R9_11.count"
"1","BRCA1",189261.247902703,-0.299936132937886,0.278935284711728,-1.07528932113362,0.282245215767323,0.342250874689257,174153.991913642,246886.914965776,156606.126945333,185748.719425233,213471.2711021,158700.463064132
"2","BRCA2",281112.245999188,0.263530924014399,0.277480647365048,0.949727220679657,0.342250874689257,0.342250874689257,297566.481626719,209903.350455711,330909.087950821,278991.913351252,242760.491224155,326542.15138647
