"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_010080483.count","Cont_B1_untr_030060289.count","Cont_B1_untr_060090425.count","Cont_B1_untr_990033193.count","Cont_untr_07III0075.count","Cont_untr_07III0082.count","Cont_untr_07III0085.count","Cont_untr_07III0097.count","Cont_untr_07III0134.count","Cont_untr_08III0021.count","Cont_untr_08III0059.count","Cont_untr_08III0064.count","Cont_untr_08III0065.count","Cont_untr_08III0066.count","Muta_untr_990050355.count"
"1","BRCA1",19949.1027020691,-0.139818335492597,0.117271636946017,-1.19226045729164,0.233159134285032,0.263946675559332,21485.5791524638,19067.4447191301,16853.0396859248,19221.3846846519,18851.5415095411,20707.4229107266,20555.8543245518,20893.7651216121,20118.5070049221,22114.4161198067,19748.9303719967,19820.8876451015,18587.4014580356,22993.5510906395,18216.8147319326
"2","BRCA2",27399.9773708693,0.131540078704002,0.117750183963255,1.11711144965217,0.263946675559332,0.263946675559332,25289.848713574,28497.1087785128,32241.4861897664,28268.881519405,28823.4808816203,26240.2061633589,26433.6883162445,26006.1814195127,27008.3185673962,24570.7163754898,27513.745608208,27413.8603688425,29233.0828231197,23631.2800988156,29827.7747391727
