"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_trea_R9_08.count","Cont_B1_trea_R9_10.count","Cont_B1_trea_R9_16.count","Cont_trea_R9_02.count","Muta_trea_R9_06.count"
"1","BRCA1",306795.382042472,0.42707782773989,0.353738300881646,1.20732707392853,0.227306208081605,0.227306208081605,331333.628234104,207123.88135631,331332.958925991,278287.047465558,385899.394230396
"2","BRCA2",1021634.39384493,-0.480058264845332,0.35829607473452,-1.33983679614975,0.180298409952716,0.227306208081605,904275.768049744,1446559.27259628,904277.594729196,1076647.20252273,776412.131326698
