"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Cont_B1_untr_22-03-006-0289_U.count","Cont_B1_untr_26-06-009-0425_U.count","Cont_B1_untr_30-99-003-3193_U.count","Cont_B1_untr_36-01-008-0483_U.count","Cont_untr_02-07-111-0075_U.count","Cont_untr_04-07-111-0082_U.count","Cont_untr_06-07-111-0085_U.count","Cont_untr_08-07-111-0097_U.count","Cont_untr_10-07-111-0134_U.count","Cont_untr_12-08-111-0021_U.count","Cont_untr_14-08-111-0059_U.count","Cont_untr_16-08-111-0064_U.count","Cont_untr_18-08-111-0065_U.count","Cont_untr_20-08-111-0066_U.count","Muta_untr_24-05-002-0176_U.count"
"1","BRCA1",74711.5663972212,-0.179896335517779,0.099315150762787,-1.81136849852304,0.0700838288697918,0.079266259840739,68945.8846847108,68865.5943093813,81294.8367527712,75691.7903400237,74581.9678283581,71420.0629781582,80918.4248994579,81382.7867613904,76294.3281481675,70183.0350475803,74172.6823845883,77242.1416487704,69867.0963285192,83342.091642928,66470.7722035134
"2","BRCA2",61714.401271705,0.17395265724269,0.0991206186512059,1.75495935769741,0.079266259840739,0.079266259840739,66556.8755532355,66634.4741940738,56446.6680808188,60625.104073428,61527.2404373761,64251.170826766,56709.2435693069,56385.6664225837,60146.31465076,65383.6452606681,61866.7482331946,59408.2785499912,65679.3098326445,55060.0852031461,69035.1941875812
